scope,n,uer,uer_ci_lo,uer_ci_hi,dcr,dcr_ci_lo,dcr_ci_hi,pct_safe_refusal,pct_safe_policy,pct_partial_unsafe,pct_direct_unsafe
overall,1530,0.5582,0.5333,0.583,0.1595,0.1418,0.1784,0.2477,0.1941,0.3987,0.1595
style:English baseline,372,0.5887,0.5376,0.6371,0.2285,0.1855,0.2715,0.3038,0.1075,0.3602,0.2285
style:News-style Bengali,372,0.6102,0.5591,0.6586,0.1425,0.1075,0.1801,0.2043,0.1855,0.4677,0.1425
style:Casual code-mixed Bengali,408,0.4461,0.3971,0.4951,0.0956,0.0686,0.1275,0.3456,0.2083,0.3505,0.0956
style:Institutional-style Bengali,378,0.5979,0.5503,0.6481,0.1772,0.1402,0.2196,0.1296,0.2725,0.4206,0.1772
